RACE,POLLSTER,SAMPLE,DEMOCRAT,REPUBLICAN,REPUBLICAN_TWO
FL,"Mason-Dixon Polling & Research, Inc.",625,0.44,0.47,N/A
FL,Florida Atlantic University,800,0.4,0.44,N/A
FL,Gravis Marketing,1840,0.47,0.43,N/A
FL,SurveyMonkey,990.4,0.45,0.52,N/A
FL,YouGov,839,0.41,0.46,N/A
FL,Marist College,947,0.49,0.45,N/A
FL,Public Policy Polling,1308,0.48,0.46,N/A
FL,Gravis Marketing,1251,0.5,0.4,N/A
FL,Cherry Communications ,605,0.45,0.48,N/A
FL,Saint Leo University,506,0.34,0.4,N/A
FL,Morning Consult,1199,0.39,0.4,N/A
FL,Florida Atlantic University,728,0.45,0.45,N/A
FL,Public Policy Polling,661,0.5,0.44,N/A
FL,Gravis Marketing,2212,0.44,0.4,N/A
FL,McLaughlin & Associates ,800,0.46,0.47,N/A
FL,Clearview Research,750,0.41,0.43,N/A
FL,SurveyMonkey,1806,0.53,0.43,N/A
FL,Quinnipiac University,1156,0.46,0.42,N/A
FL,Florida Atlantic University,800,0.4,0.38,N/A
FL,Saint Leo University,500,0.35,0.42,N/A
FL,Gravis Marketing,1978,0.44,0.4,N/A
FL,Florida Atlantic University,750,0.34,0.44,N/A
FL,University of North Florida,429,0.48,0.42,N/A
FL,"Mason-Dixon Polling & Research, Inc.",625,0.45,0.44,N/A
FL,Gravis Marketing,5778,0.44,0.39,N/A
FL,Saint Leo University,500,0.32,0.42,N/A
VA,CNN/SSRS,512,0.52,0.36,N/A
VA,Cygnal,1119,0.5,0.46,N/A
VA,Roanoke College,512,0.51,0.34,N/A
VA,Virginia Commonwealth University,747,0.49,0.26,N/A
VA,Quinnipiac University,1153,0.54,0.36,N/A
VA,Roanoke College,555,0.44,0.33,N/A
VA,Christopher Newport University,1562,0.56,0.32,N/A
MD,Gonzales Research & Marketing Strategies Inc. ,806,0.49,0.22,N/A
MD,Goucher College,472,0.56,0.17,N/A
DE,University of Delaware,728,0.61,0.24,N/A
DE,Gravis Marketing,884,0.47,0.39,N/A
PA,Morning Consult,1188,0.47,0.32,N/A
PA,Franklin & Marshall College,204,0.5,0.33,N/A
PA,Muhlenberg College,404,0.53,0.35,N/A
PA,Ipsos,1080,0.53,0.37,N/A
PA,Rasmussen Reports/Pulse Opinion Research,800,0.52,0.38,N/A
PA,Franklin & Marshall College,222,0.47,0.34,N/A
PA,Marist College,713,0.53,0.38,N/A
PA,Commonwealth Leaders Fund,2012,0.47,0.45,N/A
PA,SurveyMonkey,892.2,0.54,0.43,N/A
PA,Suffolk University,500,0.47,0.32,N/A
PA,Franklin & Marshall College,472,0.44,0.27,N/A
PA,Muhlenberg College,414,0.48,0.32,N/A
PA,Franklin & Marshall College,423,0.43,0.25,N/A
PA,Public Policy Polling ,1056,0.54,0.36,N/A
PA,SurveyMonkey,2165,0.52,0.43,N/A
NJ,YouGov,845,0.49,0.39,N/A
NJ,Quinnipiac University,1058,0.53,0.42,N/A
NJ,Vox Populi Polling,794,0.52,0.48,N/A
NJ,Fairleigh Dickinson University (PublicMind),508,0.43,0.37,N/A
NJ,Stockton College,531,0.45,0.43,N/A
NJ,Quinnipiac University,908,0.43,0.37,N/A
NJ,Gravis Marketing ,753,0.4,0.3,N/A
NJ,Gravis Marketing,563,0.43,0.41,N/A
NJ,Fairleigh Dickinson University (PublicMind),856,0.28,0.24,N/A
NJ,Monmouth University,632,0.53,0.32,N/A
NJ,Quinnipiac University,1052,0.49,0.32,N/A
RI,SocialSphere,502,0.56,0.32,N/A
RI,University of New Hampshire,503,0.57,0.33,N/A
RI,Fleming & Associates,420,0.54,0.35,N/A
RI,SocialSphere,501,0.54,0.32,N/A
CT,Quinnipiac University,767,0.57,0.42,N/A
CT,Gravis Marketing,606,0.54,0.37,N/A
CT,Quinnipiac University,1029,0.59,0.31,N/A
NY,Siena College,701,0.61,0.29,N/A
NY,Liberty Opinion Research ,2783,0.51,0.36,N/A
NY,Siena College,745,0.61,0.28,N/A
NY,Quinnipiac University,1076,0.58,0.23,N/A
NY,Siena College,692,0.58,0.27,N/A
NY,Siena College,772,0.6,0.24,N/A
MA,University of Massachusetts Lowell,485,0.56,0.31,N/A
MA,MassINC Polling Group,506,0.56,0.3,N/A
MA,Suffolk University,500,0.54,0.24,N/A
MA,Suffolk University,500,0.55,0.33,N/A
MA,MassINC Polling Group,501,0.54,0.19,N/A
MA,MassINC Polling Group,504,0.55,0.2,N/A
MA,MassINC Polling Group,503,0.58,0.32,N/A
VT,Tulchin Research ,406,0.75,0.2,N/A
ME,Self-Made Insights ,750,0.47,0.36,N/A
ME,Suffolk University,500,0.55,0.26,N/A
